Experiment: 8 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_002

  [52/144] Qwen3.5-27B/C/索酒  3.55s 1err 257tok
  [53/144] Qwen3.5-27B/C/穆护砂  6.63s 1err 235tok
  [16/144] DeepSeek-V3.2-reasoner/C/永遇乐  62.46s 26err 8528tok
  [132/144] DeepSeek-V4-Pro/C/七律平起  2.23s 1err 182tok
  [133/144] DeepSeek-V4-Pro/C/五绝平起  0.99s 0err 140tok
  [81/144] gpt-5.4/C/期夜月  3.54s 1err 214tok
  [54/144] Qwen3.5-27B/C/绕池游慢  3.95s 1err 233tok
  [134/144] DeepSeek-V4-Pro/C/五绝仄起首句入韵  1.0s 0err 144tok
  [55/144] Qwen3.5-27B/C/胜州令  1.96s 1err 227tok
  [135/144] DeepSeek-V4-Pro/C/五律平起首句入韵  1.84s 0err 171tok
  [136/144] DeepSeek-V4-Pro/C/五绝平起首句入韵  1.18s 0err 146tok
  [10/144] gemini-3.1-pro-preview/C/木兰花慢  72.21s 1err 8313tok
  [82/144] gpt-5.4/C/清风满桂楼  5.72s 1err 296tok
  [19/144] claude-opus-4-6/C/一萼红  37.11s 1err 1645tok
  [137/144] DeepSeek-V4-Pro/C/调笑令  0.74s 1err 129tok
  [138/144] DeepSeek-V4-Pro/C/皂罗特髻  0.87s 1err 130tok
  [56/144] Qwen3.5-27B/C/落梅  3.28s 1err 197tok
  [83/144] gpt-5.4/C/杏花天慢  7.34s 1err 298tok
  [139/144] DeepSeek-V4-Pro/C/戚氏  3.28s 1err 254tok
  [84/144] gpt-5.4/C/梦扬州  7.42s 1err 288tok
  [57/144] Qwen3.5-27B/C/花发状元红慢  4.36s 1err 354tok
  [17/144] DeepSeek-V3.2-reasoner/C/一萼红  4.89s 0err 477tok
  [140/144] DeepSeek-V4-Pro/C/定风波  2.18s 20err 196tok
  [85/144] gpt-5.4/C/澡兰香  5.21s 1err 301tok
  [141/144] DeepSeek-V4-Pro/C/六州歌头  4.21s 1err 307tok
  [142/144] DeepSeek-V4-Pro/C/减字木兰花  1.82s 15err 175tok
  [58/144] Qwen3.5-27B/C/逍遥乐  2.56s 1err 265tok
  [143/144] DeepSeek-V4-Pro/C/西江月  1.75s 4err 180tok
  [144/144] DeepSeek-V4-Pro/C/翠楼吟  1.72s 1err 184tok
  DeepSeek-V4-Pro/C: done (144 completed)
  [86/144] gpt-5.4/C/玉抱肚  6.63s 1err 279tok
  [87/144] gpt-5.4/C/玉连环  4.87s 1err 220tok
  [18/144] DeepSeek-V3.2-reasoner/C/琐窗寒  8.43s 1err 845tok
  [59/144] Qwen3.5-27B/C/金浮图  5.07s 1err 250tok
  [88/144] gpt-5.4/C/玉梅香慢  7.19s 81err 275tok
  [89/144] gpt-5.4/C/红芍药  3.61s 1err 228tok
  [90/144] gpt-5.4/C/瑞云浓慢  8.59s 1err 323tok
  [91/144] gpt-5.4/C/真珠髻  5.66s 1err 287tok
  [20/144] claude-opus-4-6/C/望海潮  17.81s 15err 1062tok
  [92/144] gpt-5.4/C/翠羽吟  3.81s 1err 227tok
  [93/144] gpt-5.4/C/舜韶新  3.74s 1err 219tok
  [94/144] gpt-5.4/C/菩萨蛮慢  3.56s 1err 210tok
  [60/144] Qwen3.5-27B/C/行香子慢  19.24s 1err 343tok
  [95/144] gpt-5.4/C/西吴曲  3.38s 1err 218tok
  [15/144] MiniMax-M2.5/C/声声慢  79.78s 1err 7090tok
